return_id,return_date,client_id,material_id,quantity_returned,reason,supplier_id_traced,model_probability,top3,source,supplier_attributed,confidence,model_agrees
RET-0091,2021-05-31,Client-066,GI Sheets,4.34,Surface rust,VS03,0.21491533469568944,"[{""supplier_id"": ""VS19"", ""p"": 0.2149}, {""supplier_id"": ""VS03"", ""p"": 0.2094}, {""supplier_id"": ""VS12"", ""p"": 0.1445}]",recorded,VS03,1.0,0.0
RET-0092,2023-07-11,Client-078,MS Sheets,1.59,Bend/warp,VS20,0.196073676137016,"[{""supplier_id"": ""VS19"", ""p"": 0.1961}, {""supplier_id"": ""VS12"", ""p"": 0.1924}, {""supplier_id"": ""VS03"", ""p"": 0.1789}]",recorded,VS20,1.0,0.0
RET-0093,2021-08-24,Client-064,CR Sheets,4.67,Wrong dimensions,VS23,0.20312505909633854,"[{""supplier_id"": ""VS03"", ""p"": 0.2031}, {""supplier_id"": ""VS19"", ""p"": 0.1914}, {""supplier_id"": ""VS12"", ""p"": 0.1861}]",recorded,VS23,1.0,0.0
RET-0094,2021-07-04,Client-051,GI Pipes,1.24,Weight short,VS03,0.22843302927959264,"[{""supplier_id"": ""VS19"", ""p"": 0.2284}, {""supplier_id"": ""VS12"", ""p"": 0.1682}, {""supplier_id"": ""VS03"", ""p"": 0.1512}]",recorded,VS03,1.0,0.0
RET-0095,2021-11-01,Client-060,Square/Rect Tubes,0.37,Weight short,VS12,0.20076743454328397,"[{""supplier_id"": ""VS03"", ""p"": 0.2008}, {""supplier_id"": ""VS12"", ""p"": 0.1938}, {""supplier_id"": ""VS19"", ""p"": 0.1829}]",recorded,VS12,1.0,0.0
RET-0096,2022-01-04,Client-078,GI Wire,3.33,Weight short,VS16,0.21083230133242808,"[{""supplier_id"": ""VS12"", ""p"": 0.2108}, {""supplier_id"": ""VS03"", ""p"": 0.1834}, {""supplier_id"": ""VS19"", ""p"": 0.1783}]",recorded,VS16,1.0,0.0
RET-0097,2022-07-25,Client-068,GI Sheets,3.96,Surface rust,,0.19750731618784265,"[{""supplier_id"": ""VS19"", ""p"": 0.1975}, {""supplier_id"": ""VS12"", ""p"": 0.1869}, {""supplier_id"": ""VS03"", ""p"": 0.1747}]",inferred,VS19,0.19750731618784265,
RET-0098,2021-02-08,Client-043,ERW Pipes,2.44,Grade mismatch,,0.1956598679372128,"[{""supplier_id"": ""VS03"", ""p"": 0.1957}, {""supplier_id"": ""VS19"", ""p"": 0.157}, {""supplier_id"": ""VS12"", ""p"": 0.1413}]",inferred,VS03,0.1956598679372128,
RET-0099,2021-08-23,Client-026,Angles & Channels,3.15,Weight short,VS07,0.21211263159232602,"[{""supplier_id"": ""VS03"", ""p"": 0.2121}, {""supplier_id"": ""VS19"", ""p"": 0.1931}, {""supplier_id"": ""VS12"", ""p"": 0.1905}]",recorded,VS07,1.0,0.0
RET-0100,2022-06-23,Client-060,MS Sheets,1.87,Grade mismatch,VS14,0.22177940289663417,"[{""supplier_id"": ""VS12"", ""p"": 0.2218}, {""supplier_id"": ""VS03"", ""p"": 0.1882}, {""supplier_id"": ""VS19"", ""p"": 0.148}]",recorded,VS14,1.0,0.0
RET-0101,2023-11-10,Client-021,HR Coils,4.1,Wrong dimensions,VS12,0.201185631565439,"[{""supplier_id"": ""VS12"", ""p"": 0.2012}, {""supplier_id"": ""VS19"", ""p"": 0.1888}, {""supplier_id"": ""VS03"", ""p"": 0.178}]",recorded,VS12,1.0,1.0
RET-0102,2022-04-27,Client-018,Square/Rect Tubes,0.57,Wrong dimensions,VS12,0.20433020057316123,"[{""supplier_id"": ""VS12"", ""p"": 0.2043}, {""supplier_id"": ""VS19"", ""p"": 0.186}, {""supplier_id"": ""VS03"", ""p"": 0.179}]",recorded,VS12,1.0,1.0
RET-0103,2023-10-16,Client-021,GI Wire,2.8,Bend/warp,,0.23128077435766994,"[{""supplier_id"": ""VS12"", ""p"": 0.2313}, {""supplier_id"": ""VS19"", ""p"": 0.1592}, {""supplier_id"": ""VS03"", ""p"": 0.1585}]",inferred,VS12,0.23128077435766994,
RET-0104,2022-05-02,Client-033,Angles & Channels,4.3,Weight short,VS12,0.20018579024305458,"[{""supplier_id"": ""VS19"", ""p"": 0.2002}, {""supplier_id"": ""VS12"", ""p"": 0.1974}, {""supplier_id"": ""VS03"", ""p"": 0.1797}]",recorded,VS12,1.0,0.0
RET-0105,2021-05-01,Client-078,SS Sheets,4.47,Surface rust,VS11,0.198740342503729,"[{""supplier_id"": ""VS19"", ""p"": 0.1987}, {""supplier_id"": ""VS03"", ""p"": 0.1959}, {""supplier_id"": ""VS12"", ""p"": 0.1541}]",recorded,VS11,1.0,0.0
RET-0106,2021-12-23,Client-044,Hex Bars,2.66,Edge damage,,0.19854624162578405,"[{""supplier_id"": ""VS19"", ""p"": 0.1985}, {""supplier_id"": ""VS03"", ""p"": 0.1978}, {""supplier_id"": ""VS12"", ""p"": 0.1874}]",inferred,VS19,0.19854624162578405,
RET-0107,2022-02-22,Client-020,Fasteners & Fittings,3.19,Weight short,VS12,0.21076553009841809,"[{""supplier_id"": ""VS12"", ""p"": 0.2108}, {""supplier_id"": ""VS03"", ""p"": 0.1859}, {""supplier_id"": ""VS19"", ""p"": 0.1788}]",recorded,VS12,1.0,1.0
RET-0108,2023-09-06,Client-007,GI Sheets,1.9,Grade mismatch,,0.2018342487623845,"[{""supplier_id"": ""VS19"", ""p"": 0.2018}, {""supplier_id"": ""VS12"", ""p"": 0.1767}, {""supplier_id"": ""VS03"", ""p"": 0.1704}]",inferred,VS19,0.2018342487623845,
RET-0109,2021-11-05,Client-010,GI Wire,4.86,Bend/warp,VS03,0.20159944747160996,"[{""supplier_id"": ""VS12"", ""p"": 0.2016}, {""supplier_id"": ""VS19"", ""p"": 0.1839}, {""supplier_id"": ""VS03"", ""p"": 0.1797}]",recorded,VS03,1.0,0.0
RET-0110,2021-03-13,Client-017,SS Pipes,3.22,Bend/warp,VS03,0.19970628900097234,"[{""supplier_id"": ""VS03"", ""p"": 0.1997}, {""supplier_id"": ""VS19"", ""p"": 0.1853}, {""supplier_id"": ""VS12"", ""p"": 0.1787}]",recorded,VS03,1.0,1.0
RET-0111,2022-04-16,Client-056,SS Sheets,2.44,Weight short,VS19,0.18910246105839465,"[{""supplier_id"": ""VS03"", ""p"": 0.1891}, {""supplier_id"": ""VS12"", ""p"": 0.1889}, {""supplier_id"": ""VS19"", ""p"": 0.1772}]",recorded,VS19,1.0,0.0
RET-0112,2023-12-10,Client-011,GI Wire,1.26,Bend/warp,VS12,0.22177974157692434,"[{""supplier_id"": ""VS12"", ""p"": 0.2218}, {""supplier_id"": ""VS19"", ""p"": 0.1757}, {""supplier_id"": ""VS03"", ""p"": 0.1565}]",recorded,VS12,1.0,1.0
RET-0113,2023-09-25,Client-031,MS Pipes,2.58,Grade mismatch,VS22,0.2003923149242148,"[{""supplier_id"": ""VS12"", ""p"": 0.2004}, {""supplier_id"": ""VS19"", ""p"": 0.2003}, {""supplier_id"": ""VS03"", ""p"": 0.1633}]",recorded,VS22,1.0,0.0
RET-0114,2021-07-04,Client-078,MS Sheets,2.01,Weight short,VS15,0.21996508044528976,"[{""supplier_id"": ""VS19"", ""p"": 0.22}, {""supplier_id"": ""VS03"", ""p"": 0.2126}, {""supplier_id"": ""VS12"", ""p"": 0.1314}]",recorded,VS15,1.0,0.0
RET-0115,2023-02-14,Client-049,GI Sheets,1.42,Weight short,,0.2057306286941699,"[{""supplier_id"": ""VS19"", ""p"": 0.2057}, {""supplier_id"": ""VS12"", ""p"": 0.1985}, {""supplier_id"": ""VS03"", ""p"": 0.1579}]",inferred,VS19,0.2057306286941699,
RET-0116,2021-12-21,Client-021,MS Flats,0.85,Grade mismatch,VS10,0.20616958951956044,"[{""supplier_id"": ""VS19"", ""p"": 0.2062}, {""supplier_id"": ""VS03"", ""p"": 0.1982}, {""supplier_id"": ""VS12"", ""p"": 0.1644}]",recorded,VS10,1.0,0.0
RET-0117,2022-03-27,Client-034,CR Sheets,4.02,Wrong dimensions,VS17,0.22244244754359258,"[{""supplier_id"": ""VS12"", ""p"": 0.2224}, {""supplier_id"": ""VS03"", ""p"": 0.1959}, {""supplier_id"": ""VS19"", ""p"": 0.1395}]",recorded,VS17,1.0,0.0
RET-0118,2023-04-02,Client-057,ERW Pipes,0.47,Edge damage,VS03,0.2183194359154089,"[{""supplier_id"": ""VS12"", ""p"": 0.2183}, {""supplier_id"": ""VS03"", ""p"": 0.1906}, {""supplier_id"": ""VS19"", ""p"": 0.1644}]",recorded,VS03,1.0,0.0
RET-0119,2023-03-12,Client-072,GI Pipes,3.0,Edge damage,,0.2127095145263895,"[{""supplier_id"": ""VS12"", ""p"": 0.2127}, {""supplier_id"": ""VS03"", ""p"": 0.172}, {""supplier_id"": ""VS19"", ""p"": 0.1643}]",inferred,VS12,0.2127095145263895,
RET-0120,2022-07-23,Client-067,MS Flats,1.08,Edge damage,,0.20663462415474246,"[{""supplier_id"": ""VS12"", ""p"": 0.2066}, {""supplier_id"": ""VS19"", ""p"": 0.1861}, {""supplier_id"": ""VS03"", ""p"": 0.1714}]",inferred,VS12,0.20663462415474246,
RET-0121,2021-11-15,Client-066,SS Pipes,5.0,Bend/warp,,0.2020987375766314,"[{""supplier_id"": ""VS19"", ""p"": 0.2021}, {""supplier_id"": ""VS12"", ""p"": 0.1692}, {""supplier_id"": ""VS03"", ""p"": 0.1507}]",inferred,VS19,0.2020987375766314,
RET-0122,2022-02-14,Client-013,Structural Steel,3.78,Wrong dimensions,VS32,0.20584004766535657,"[{""supplier_id"": ""VS19"", ""p"": 0.2058}, {""supplier_id"": ""VS03"", ""p"": 0.1903}, {""supplier_id"": ""VS12"", ""p"": 0.1882}]",recorded,VS32,1.0,0.0
RET-0123,2022-02-25,Client-042,MS Pipes,3.29,Edge damage,VS19,0.20088023486968692,"[{""supplier_id"": ""VS03"", ""p"": 0.2009}, {""supplier_id"": ""VS12"", ""p"": 0.1764}, {""supplier_id"": ""VS19"", ""p"": 0.1723}]",recorded,VS19,1.0,0.0
RET-0124,2022-01-26,Client-078,MS Flats,1.57,Wrong dimensions,,0.20531920579456744,"[{""supplier_id"": ""VS19"", ""p"": 0.2053}, {""supplier_id"": ""VS12"", ""p"": 0.1918}, {""supplier_id"": ""VS03"", ""p"": 0.1819}]",inferred,VS19,0.20531920579456744,
RET-0125,2022-01-10,Client-070,Spring Steel,4.46,Grade mismatch,VS01,0.20200262615138692,"[{""supplier_id"": ""VS19"", ""p"": 0.202}, {""supplier_id"": ""VS03"", ""p"": 0.1906}, {""supplier_id"": ""VS12"", ""p"": 0.189}]",recorded,VS01,1.0,0.0
RET-0126,2021-04-04,Client-058,Hex Bars,0.59,Grade mismatch,VS03,0.21741269119416523,"[{""supplier_id"": ""VS03"", ""p"": 0.2174}, {""supplier_id"": ""VS19"", ""p"": 0.1901}, {""supplier_id"": ""VS12"", ""p"": 0.1801}]",recorded,VS03,1.0,1.0
RET-0127,2022-03-25,Client-065,MS Rods,0.24,Edge damage,,0.2267523689054924,"[{""supplier_id"": ""VS19"", ""p"": 0.2268}, {""supplier_id"": ""VS03"", ""p"": 0.1745}, {""supplier_id"": ""VS12"", ""p"": 0.1667}]",inferred,VS19,0.2267523689054924,
RET-0128,2023-12-02,Client-026,SS Sheets,4.03,Bend/warp,,0.22085917767954635,"[{""supplier_id"": ""VS12"", ""p"": 0.2209}, {""supplier_id"": ""VS03"", ""p"": 0.1724}, {""supplier_id"": ""VS19"", ""p"": 0.168}]",inferred,VS12,0.22085917767954635,
RET-0129,2021-09-19,Client-063,GI Sheets,4.97,Bend/warp,,0.20262641820921015,"[{""supplier_id"": ""VS19"", ""p"": 0.2026}, {""supplier_id"": ""VS03"", ""p"": 0.1975}, {""supplier_id"": ""VS12"", ""p"": 0.1649}]",inferred,VS19,0.20262641820921015,
RET-0130,2022-05-04,Client-064,SS Pipes,0.37,Weight short,,0.21811824612243239,"[{""supplier_id"": ""VS19"", ""p"": 0.2181}, {""supplier_id"": ""VS03"", ""p"": 0.1618}, {""supplier_id"": ""VS12"", ""p"": 0.1466}]",inferred,VS19,0.21811824612243239,
RET-0131,2022-10-01,Client-060,HR Coils,2.89,Bend/warp,,0.1893876003941454,"[{""supplier_id"": ""VS03"", ""p"": 0.1894}, {""supplier_id"": ""VS12"", ""p"": 0.1672}, {""supplier_id"": ""VS19"", ""p"": 0.166}]",inferred,VS03,0.1893876003941454,
RET-0132,2023-03-11,Client-022,Hex Bars,0.67,Surface rust,VS17,0.22511753519182984,"[{""supplier_id"": ""VS12"", ""p"": 0.2251}, {""supplier_id"": ""VS19"", ""p"": 0.2024}, {""supplier_id"": ""VS03"", ""p"": 0.1334}]",recorded,VS17,1.0,0.0
RET-0133,2021-04-08,Client-035,SS Pipes,2.37,Grade mismatch,,0.2193371306940551,"[{""supplier_id"": ""VS03"", ""p"": 0.2193}, {""supplier_id"": ""VS19"", ""p"": 0.1895}, {""supplier_id"": ""VS12"", ""p"": 0.1538}]",inferred,VS03,0.2193371306940551,
RET-0134,2022-05-13,Client-045,ERW Pipes,3.13,Bend/warp,,0.19677025519447833,"[{""supplier_id"": ""VS03"", ""p"": 0.1968}, {""supplier_id"": ""VS12"", ""p"": 0.1959}, {""supplier_id"": ""VS19"", ""p"": 0.1716}]",inferred,VS03,0.19677025519447833,
RET-0135,2021-02-15,Client-027,GI Sheets,0.62,Surface rust,VS19,0.19877114781307104,"[{""supplier_id"": ""VS19"", ""p"": 0.1988}, {""supplier_id"": ""VS03"", ""p"": 0.152}, {""supplier_id"": ""VS12"", ""p"": 0.1519}]",recorded,VS19,1.0,1.0
RET-0136,2021-09-20,Client-039,Fasteners & Fittings,0.97,Wrong dimensions,VS02,0.20138691800403757,"[{""supplier_id"": ""VS03"", ""p"": 0.2014}, {""supplier_id"": ""VS12"", ""p"": 0.1989}, {""supplier_id"": ""VS19"", ""p"": 0.1788}]",recorded,VS02,1.0,0.0
RET-0137,2023-11-08,Client-010,MS Flats,2.71,Grade mismatch,VS06,0.2166275064903654,"[{""supplier_id"": ""VS12"", ""p"": 0.2166}, {""supplier_id"": ""VS19"", ""p"": 0.1975}, {""supplier_id"": ""VS03"", ""p"": 0.1409}]",recorded,VS06,1.0,0.0
RET-0138,2021-03-21,Client-014,GI Wire,1.97,Wrong dimensions,VS12,0.19797346923899367,"[{""supplier_id"": ""VS19"", ""p"": 0.198}, {""supplier_id"": ""VS12"", ""p"": 0.1818}, {""supplier_id"": ""VS03"", ""p"": 0.1622}]",recorded,VS12,1.0,0.0
RET-0139,2022-01-08,Client-013,MS Rods,0.15,Weight short,,0.19866217416192597,"[{""supplier_id"": ""VS19"", ""p"": 0.1987}, {""supplier_id"": ""VS12"", ""p"": 0.196}, {""supplier_id"": ""VS03"", ""p"": 0.1883}]",inferred,VS19,0.19866217416192597,
RET-0140,2021-04-28,Client-058,MS Pipes,3.05,Wrong dimensions,VS05,0.18765987145456367,"[{""supplier_id"": ""VS03"", ""p"": 0.1877}, {""supplier_id"": ""VS19"", ""p"": 0.1842}, {""supplier_id"": ""VS12"", ""p"": 0.1667}]",recorded,VS05,1.0,0.0
RET-0141,2021-06-11,Client-021,HR Coils,0.86,Grade mismatch,VS19,0.20561476150980026,"[{""supplier_id"": ""VS19"", ""p"": 0.2056}, {""supplier_id"": ""VS03"", ""p"": 0.1753}, {""supplier_id"": ""VS12"", ""p"": 0.1479}]",recorded,VS19,1.0,1.0
RET-0142,2021-07-03,Client-022,GI Sheets,0.25,Grade mismatch,VS03,0.21811658252901972,"[{""supplier_id"": ""VS19"", ""p"": 0.2181}, {""supplier_id"": ""VS03"", ""p"": 0.2056}, {""supplier_id"": ""VS12"", ""p"": 0.1489}]",recorded,VS03,1.0,0.0
RET-0143,2021-08-05,Client-049,SS Sheets,3.12,Surface rust,VS12,0.21337697861163468,"[{""supplier_id"": ""VS03"", ""p"": 0.2134}, {""supplier_id"": ""VS12"", ""p"": 0.1733}, {""supplier_id"": ""VS19"", ""p"": 0.1714}]",recorded,VS12,1.0,0.0
RET-0144,2022-05-29,Client-063,MS Rods,0.8,Bend/warp,,0.22157537398317742,"[{""supplier_id"": ""VS19"", ""p"": 0.2216}, {""supplier_id"": ""VS03"", ""p"": 0.1696}, {""supplier_id"": ""VS12"", ""p"": 0.1665}]",inferred,VS19,0.22157537398317742,
RET-0145,2022-09-01,Client-073,Angles & Channels,4.78,Surface rust,VS19,0.21062690473423815,"[{""supplier_id"": ""VS19"", ""p"": 0.2106}, {""supplier_id"": ""VS12"", ""p"": 0.1876}, {""supplier_id"": ""VS03"", ""p"": 0.178}]",recorded,VS19,1.0,1.0
RET-0146,2022-03-26,Client-046,Angles & Channels,0.23,Bend/warp,VS03,0.21893218878356424,"[{""supplier_id"": ""VS12"", ""p"": 0.2189}, {""supplier_id"": ""VS19"", ""p"": 0.196}, {""supplier_id"": ""VS03"", ""p"": 0.1767}]",recorded,VS03,1.0,0.0
RET-0147,2023-06-12,Client-004,Square/Rect Tubes,1.63,Grade mismatch,,0.19623383650783835,"[{""supplier_id"": ""VS12"", ""p"": 0.1962}, {""supplier_id"": ""VS19"", ""p"": 0.1955}, {""supplier_id"": ""VS03"", ""p"": 0.1745}]",inferred,VS12,0.19623383650783835,
RET-0148,2021-10-02,Client-009,Structural Steel,4.07,Weight short,,0.20653047686420925,"[{""supplier_id"": ""VS19"", ""p"": 0.2065}, {""supplier_id"": ""VS03"", ""p"": 0.1954}, {""supplier_id"": ""VS12"", ""p"": 0.176}]",inferred,VS19,0.20653047686420925,
RET-0149,2022-04-29,Client-056,Square/Rect Tubes,1.09,Grade mismatch,VS12,0.20458877077244492,"[{""supplier_id"": ""VS12"", ""p"": 0.2046}, {""supplier_id"": ""VS19"", ""p"": 0.1862}, {""supplier_id"": ""VS03"", ""p"": 0.1782}]",recorded,VS12,1.0,1.0
RET-0150,2021-12-03,Client-039,SS Sheets,0.56,Wrong dimensions,,0.19987677159587813,"[{""supplier_id"": ""VS19"", ""p"": 0.1999}, {""supplier_id"": ""VS12"", ""p"": 0.1981}, {""supplier_id"": ""VS03"", ""p"": 0.1872}]",inferred,VS19,0.19987677159587813,
RET-0151,2023-06-09,Client-072,GI Wire,0.34,Bend/warp,,0.2106051320430412,"[{""supplier_id"": ""VS12"", ""p"": 0.2106}, {""supplier_id"": ""VS19"", ""p"": 0.1829}, {""supplier_id"": ""VS03"", ""p"": 0.1732}]",inferred,VS12,0.2106051320430412,
RET-0152,2023-12-26,Client-028,Angles & Channels,3.06,Grade mismatch,,0.21950719283079487,"[{""supplier_id"": ""VS12"", ""p"": 0.2195}, {""supplier_id"": ""VS19"", ""p"": 0.1965}, {""supplier_id"": ""VS03"", ""p"": 0.1408}]",inferred,VS12,0.21950719283079487,
RET-0153,2023-11-29,Client-070,MS Pipes,1.56,Bend/warp,,0.21972584654999192,"[{""supplier_id"": ""VS12"", ""p"": 0.2197}, {""supplier_id"": ""VS19"", ""p"": 0.1841}, {""supplier_id"": ""VS03"", ""p"": 0.1553}]",inferred,VS12,0.21972584654999192,
RET-0154,2023-03-14,Client-039,Structural Steel,2.21,Wrong dimensions,VS03,0.20779947061780668,"[{""supplier_id"": ""VS12"", ""p"": 0.2078}, {""supplier_id"": ""VS19"", ""p"": 0.1951}, {""supplier_id"": ""VS03"", ""p"": 0.1771}]",recorded,VS03,1.0,0.0
RET-0155,2022-08-02,Client-028,MS Rods,2.93,Edge damage,VS03,0.20883211411263738,"[{""supplier_id"": ""VS19"", ""p"": 0.2088}, {""supplier_id"": ""VS03"", ""p"": 0.1735}, {""supplier_id"": ""VS12"", ""p"": 0.1729}]",recorded,VS03,1.0,0.0
RET-0156,2023-02-28,Client-049,Angles & Channels,4.32,Weight short,VS19,0.21334157391357103,"[{""supplier_id"": ""VS12"", ""p"": 0.2133}, {""supplier_id"": ""VS19"", ""p"": 0.1972}, {""supplier_id"": ""VS03"", ""p"": 0.1664}]",recorded,VS19,1.0,0.0
RET-0157,2021-05-31,Client-017,ERW Pipes,1.15,Surface rust,,0.2095997370205161,"[{""supplier_id"": ""VS19"", ""p"": 0.2096}, {""supplier_id"": ""VS03"", ""p"": 0.1911}, {""supplier_id"": ""VS12"", ""p"": 0.1702}]",inferred,VS19,0.2095997370205161,
RET-0158,2023-01-13,Client-051,ERW Pipes,3.75,Grade mismatch,,0.2260918429206783,"[{""supplier_id"": ""VS12"", ""p"": 0.2261}, {""supplier_id"": ""VS03"", ""p"": 0.1872}, {""supplier_id"": ""VS19"", ""p"": 0.1544}]",inferred,VS12,0.2260918429206783,
RET-0159,2023-10-24,Client-015,Angles & Channels,4.6,Edge damage,VS12,0.2238106108702528,"[{""supplier_id"": ""VS12"", ""p"": 0.2238}, {""supplier_id"": ""VS19"", ""p"": 0.1937}, {""supplier_id"": ""VS03"", ""p"": 0.1433}]",recorded,VS12,1.0,1.0
RET-0160,2021-12-27,Client-060,MS Rods,3.21,Surface rust,,0.203548403226689,"[{""supplier_id"": ""VS19"", ""p"": 0.2035}, {""supplier_id"": ""VS12"", ""p"": 0.2026}, {""supplier_id"": ""VS03"", ""p"": 0.1643}]",inferred,VS19,0.203548403226689,
RET-0161,2021-08-11,Client-065,MS Rods,3.17,Weight short,VS10,0.19659936247158474,"[{""supplier_id"": ""VS03"", ""p"": 0.1966}, {""supplier_id"": ""VS19"", ""p"": 0.1818}, {""supplier_id"": ""VS12"", ""p"": 0.1738}]",recorded,VS10,1.0,0.0
RET-0162,2023-07-03,Client-071,Angles & Channels,4.17,Edge damage,VS19,0.21612070805651662,"[{""supplier_id"": ""VS12"", ""p"": 0.2161}, {""supplier_id"": ""VS19"", ""p"": 0.191}, {""supplier_id"": ""VS03"", ""p"": 0.1637}]",recorded,VS19,1.0,0.0
RET-0163,2022-01-03,Client-032,MS Pipes,4.24,Grade mismatch,VS03,0.21325361948051288,"[{""supplier_id"": ""VS03"", ""p"": 0.2133}, {""supplier_id"": ""VS12"", ""p"": 0.1753}, {""supplier_id"": ""VS19"", ""p"": 0.1583}]",recorded,VS03,1.0,1.0
RET-0164,2021-07-14,Client-043,MS Pipes,1.21,Bend/warp,VS25,0.1979381106765646,"[{""supplier_id"": ""VS19"", ""p"": 0.1979}, {""supplier_id"": ""VS03"", ""p"": 0.1877}, {""supplier_id"": ""VS12"", ""p"": 0.167}]",recorded,VS25,1.0,0.0
RET-0165,2022-09-27,Client-060,SS Pipes,0.66,Grade mismatch,VS03,0.20330241973619628,"[{""supplier_id"": ""VS19"", ""p"": 0.2033}, {""supplier_id"": ""VS12"", ""p"": 0.1816}, {""supplier_id"": ""VS03"", ""p"": 0.1677}]",recorded,VS03,1.0,0.0
RET-0166,2022-09-28,Client-046,MS Flats,2.94,Weight short,,0.20683502860726913,"[{""supplier_id"": ""VS12"", ""p"": 0.2068}, {""supplier_id"": ""VS03"", ""p"": 0.18}, {""supplier_id"": ""VS19"", ""p"": 0.1623}]",inferred,VS12,0.20683502860726913,
RET-0167,2021-05-15,Client-002,GI Pipes,4.9,Edge damage,VS19,0.21419110637314875,"[{""supplier_id"": ""VS19"", ""p"": 0.2142}, {""supplier_id"": ""VS12"", ""p"": 0.1672}, {""supplier_id"": ""VS03"", ""p"": 0.1478}]",recorded,VS19,1.0,1.0
RET-0168,2022-10-17,Client-054,Structural Steel,4.57,Weight short,,0.1977249156834162,"[{""supplier_id"": ""VS12"", ""p"": 0.1977}, {""supplier_id"": ""VS19"", ""p"": 0.1634}, {""supplier_id"": ""VS03"", ""p"": 0.1492}]",inferred,VS12,0.1977249156834162,
RET-0169,2023-08-08,Client-052,Square/Rect Tubes,3.18,Surface rust,VS14,0.1917719080143687,"[{""supplier_id"": ""VS12"", ""p"": 0.1918}, {""supplier_id"": ""VS19"", ""p"": 0.1896}, {""supplier_id"": ""VS03"", ""p"": 0.1846}]",recorded,VS14,1.0,0.0
RET-0170,2021-03-22,Client-041,Hex Bars,0.38,Grade mismatch,,0.22218099726471954,"[{""supplier_id"": ""VS03"", ""p"": 0.2222}, {""supplier_id"": ""VS19"", ""p"": 0.1871}, {""supplier_id"": ""VS12"", ""p"": 0.1719}]",inferred,VS03,0.22218099726471954,
RET-0171,2023-07-01,Client-025,SS Sheets,2.15,Bend/warp,,0.2067329504155962,"[{""supplier_id"": ""VS12"", ""p"": 0.2067}, {""supplier_id"": ""VS03"", ""p"": 0.1806}, {""supplier_id"": ""VS19"", ""p"": 0.1767}]",inferred,VS12,0.2067329504155962,
RET-0172,2023-11-04,Client-021,GI Pipes,0.95,Wrong dimensions,,0.21662870001047727,"[{""supplier_id"": ""VS12"", ""p"": 0.2166}, {""supplier_id"": ""VS19"", ""p"": 0.1974}, {""supplier_id"": ""VS03"", ""p"": 0.1612}]",inferred,VS12,0.21662870001047727,
RET-0173,2022-03-21,Client-011,SS Pipes,2.31,Wrong dimensions,VS19,0.1882526674377564,"[{""supplier_id"": ""VS03"", ""p"": 0.1883}, {""supplier_id"": ""VS19"", ""p"": 0.1863}, {""supplier_id"": ""VS12"", ""p"": 0.1637}]",recorded,VS19,1.0,0.0
RET-0174,2021-03-29,Client-062,Angles & Channels,1.91,Edge damage,,0.23370339443880714,"[{""supplier_id"": ""VS03"", ""p"": 0.2337}, {""supplier_id"": ""VS12"", ""p"": 0.1808}, {""supplier_id"": ""VS19"", ""p"": 0.1279}]",inferred,VS03,0.23370339443880714,
RET-0175,2023-04-06,Client-078,HR Coils,0.28,Grade mismatch,,0.2123748246779376,"[{""supplier_id"": ""VS12"", ""p"": 0.2124}, {""supplier_id"": ""VS19"", ""p"": 0.1877}, {""supplier_id"": ""VS03"", ""p"": 0.1776}]",inferred,VS12,0.2123748246779376,
RET-0176,2022-01-03,Client-078,Spring Steel,1.1,Grade mismatch,VS03,0.19776622558823284,"[{""supplier_id"": ""VS19"", ""p"": 0.1978}, {""supplier_id"": ""VS12"", ""p"": 0.1917}, {""supplier_id"": ""VS03"", ""p"": 0.1914}]",recorded,VS03,1.0,0.0
RET-0177,2021-08-30,Client-074,MS Pipes,2.17,Edge damage,VS11,0.19298538136375695,"[{""supplier_id"": ""VS19"", ""p"": 0.193}, {""supplier_id"": ""VS03"", ""p"": 0.1825}, {""supplier_id"": ""VS12"", ""p"": 0.1807}]",recorded,VS11,1.0,0.0
RET-0178,2023-07-08,Client-048,ERW Pipes,1.5,Weight short,VS03,0.19918800641581927,"[{""supplier_id"": ""VS19"", ""p"": 0.1992}, {""supplier_id"": ""VS12"", ""p"": 0.1808}, {""supplier_id"": ""VS03"", ""p"": 0.1705}]",recorded,VS03,1.0,0.0
RET-0179,2023-10-10,Client-045,MS Rods,1.97,Weight short,VS19,0.2059795004353989,"[{""supplier_id"": ""VS12"", ""p"": 0.206}, {""supplier_id"": ""VS19"", ""p"": 0.1921}, {""supplier_id"": ""VS03"", ""p"": 0.1349}]",recorded,VS19,1.0,0.0
RET-0180,2022-07-20,Client-009,Angles & Channels,3.28,Weight short,,0.22487445042385337,"[{""supplier_id"": ""VS19"", ""p"": 0.2249}, {""supplier_id"": ""VS03"", ""p"": 0.1793}, {""supplier_id"": ""VS12"", ""p"": 0.1762}]",inferred,VS19,0.22487445042385337,
RET-0181,2021-12-14,Client-074,Angles & Channels,2.94,Wrong dimensions,VS03,0.2002294313980439,"[{""supplier_id"": ""VS19"", ""p"": 0.2002}, {""supplier_id"": ""VS12"", ""p"": 0.1995}, {""supplier_id"": ""VS03"", ""p"": 0.1938}]",recorded,VS03,1.0,0.0
RET-0182,2021-10-03,Client-042,MS Pipes,3.85,Surface rust,,0.21035077212673134,"[{""supplier_id"": ""VS03"", ""p"": 0.2104}, {""supplier_id"": ""VS19"", ""p"": 0.1892}, {""supplier_id"": ""VS12"", ""p"": 0.169}]",inferred,VS03,0.21035077212673134,
