return_id,return_date,client_id,material_id,quantity_returned,reason,supplier_id_traced
RET-0357,2022-07-13,Client-068,Spring Steel,4.46,Grade mismatch,VS01
RET-0358,2021-07-11,Client-064,ERW Pipes,0.2,Weight short,VS12
RET-0359,2022-05-20,Client-059,GI Pipes,4.62,Wrong dimensions,
RET-0360,2021-10-31,Client-066,Fasteners & Fittings,0.62,Grade mismatch,VS12
RET-0361,2021-08-13,Client-029,Fasteners & Fittings,4.57,Wrong dimensions,
RET-0362,2021-12-08,Client-057,GI Wire,0.66,Surface rust,VS19
RET-0363,2021-02-13,Client-055,MS Rods,1.44,Edge damage,VS34
RET-0364,2021-08-25,Client-044,SS Sheets,4.39,Weight short,VS03
RET-0365,2022-12-19,Client-023,GI Sheets,1.78,Weight short,VS19
RET-0366,2023-03-19,Client-061,Spring Steel,4.08,Wrong dimensions,VS32
RET-0367,2023-03-07,Client-004,SS Pipes,1.2,Wrong dimensions,VS12
RET-0368,2022-06-25,Client-012,Structural Steel,1.4,Edge damage,
RET-0369,2023-01-23,Client-044,GI Pipes,3.26,Surface rust,VS05
RET-0370,2023-03-20,Client-039,HR Coils,2.49,Bend/warp,
RET-0371,2023-06-07,Client-077,SS Pipes,4.89,Weight short,VS24
RET-0372,2022-05-16,Client-037,HR Coils,0.55,Wrong dimensions,VS33
RET-0373,2021-03-07,Client-065,GI Wire,0.53,Edge damage,VS19
RET-0374,2023-05-17,Client-003,MS Rods,4.85,Grade mismatch,VS03
RET-0375,2023-01-20,Client-033,SS Pipes,4.66,Weight short,VS14
RET-0376,2022-03-26,Client-067,GI Wire,0.4,Grade mismatch,VS12
RET-0377,2022-06-24,Client-033,SS Sheets,0.56,Bend/warp,VS12
RET-0378,2021-11-22,Client-037,ERW Pipes,1.28,Grade mismatch,VS32
RET-0379,2023-11-20,Client-025,SS Sheets,0.79,Grade mismatch,
